Source_Mol,Target_Mol
COc1ncc(-c2cc(OCC3CCOCC3)c3nc(N)nc(C)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,COCC1OC(=O)c2coc3c2C1(C)C1=C(C3=O)C2CCC(=O)C2(C)CC1OC(C)=O
COc1ncc(-c2cc(OCC3CCOCC3)c3nc(N)nc(C)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,CCC(Nc1nc(N)nc(C)c1C#N)c1nc2cccc(CCCCCC(=O)NO)c2c(=O)n1-c1ccccc1
COc1ncc(-c2cc(OCC3CCOCC3)c3nc(N)nc(C)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,CN(C1CCCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)C1)S(C)(=O)=O
COc1ncc(-c2cc(OCC3CCOCC3)c3nc(N)nc(C)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,CNc1nc(C)c2cc(-c3cnc(OC)c(NS(=O)(=O)c4ccc(F)cc4F)c3)cc(OC3CCOC3)c2n1
COc1ncc(-c2cc(OCC3CCOCC3)c3nc(N)nc(C)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,CNC(=O)NC1CCN(Cc2cc3nc(-c4cccc5[nH]ccc45)nc(N4CCOCC4)c3s2)CC1
COc1ncc(-c2cc(OCC3CCOCC3)c3nc(N)nc(C)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,CC(C1CC1)N1Cc2cc(-c3ccn4nc(N)c(C(=O)NC5CC5)c4n3)cc(C(F)(F)F)c2C1=O
COc1ncc(-c2cc(OCC3CCOCC3)c3nc(N)nc(C)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,CC1CCC(c2nc3cccc(Cl)c3c(=O)n2-c2cccc(F)c2)N1c1ncnc2[nH]cnc12
COc1ncc(-c2cc(OCC3CCOCC3)c3nc(N)nc(C)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,N#Cc1c(N)ncnc1N1CCCC1c1nc2cccc(C(F)(F)F)c2c(=O)n1-c1ccccc1
COc1ncc(-c2cc(OCC3CCOCC3)c3nc(N)nc(C)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,Cc1nc(C(=O)Nc2cc(-c3cnc(Cl)c(NS(=O)(=O)c4ccccc4)c3)cc3[nH]ncc23)cs1
COc1ncc(-c2cc(OCC3CCOCC3)c3nc(N)nc(C)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,CS(=O)(=O)NC1CCN(Cc2cc3nc(-c4cccc5[nH]ccc45)nc(N4CCOCC4)c3s2)C1
COc1ncc(-c2cc(OCC3CCOCC3)c3nc(N)nc(C)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,COc1ncc(-c2cccc3c2CNC3=O)cc1NS(C)(=O)=O
COc1ncc(-c2cc(OCC3CCOCC3)c3nc(N)nc(C)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,O=S(=O)(Nc1cc(-c2ccc3nncc(N4CCCCC4)c3c2)cnc1Cl)c1ccccc1
COc1ncc(-c2cc(OCC3CCOCC3)c3nc(N)nc(C)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,CS(=O)(=O)Nc1cc(-c2ccn3nc(N)c(C(=O)NC4CC4)c3n2)cc2c1C(=O)N(C(C1CC1)C(F)(F)F)C2
COc1ncc(-c2cc(OCC3CCOCC3)c3nc(N)nc(C)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,CC(=O)N(C)C1CCCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)C1
COc1ncc(-c2cc(OCC3CCOCC3)c3nc(N)nc(C)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,CC(C1CC1)N1Cc2cc(-c3ccn4nc(N)c(C(=O)NC5CC5)c4n3)cc(S(C)(=O)=O)c2C1=O
COc1ncc(-c2cc(OCC3CCOCC3)c3nc(N)nc(C)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,CCC(N1Cc2cc(-c3ccn4nc(N)c(C(=O)NC5CC5)c4n3)cc(NS(C)(=O)=O)c2C1=O)C(F)(F)F
COc1ncc(-c2cc(OCC3CCOCC3)c3nc(N)nc(C)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,COc1c(-c2ccccc2)c(C(C)Nc2ncnc(N)c2C#N)nc2ccc(F)cc12
COc1ncc(-c2cc(OCC3CCOCC3)c3nc(N)nc(C)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,CC(=O)NC1CCCN(Cc2cc3nc(-c4cccc5[nH]ccc45)nc(N4CCOCC4)c3s2)C1
COc1ncc(-c2cc(OCC3CCOCC3)c3nc(N)nc(C)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,COc1ccc(-c2ccc3ncnc(-c4cccc(C(=O)N5CCN(C)CC5)c4)c3c2)cn1
COc1ncc(-c2cc(OCC3CCOCC3)c3nc(N)nc(C)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,CC(Nc1nc(N)nc(N)c1C#N)c1c(-c2ccccc2)c(=O)n2cc(F)ccc2c1-c1ccc(F)cc1
