Source_Mol,Target_Mol
CCOc1ccc(-c2cccn3nc(NC(=O)C4CC4)nc23)cc1,O=C(Nc1nc2cccc(-c3ccc(C(=O)N4CCC(F)(F)CC4)cc3)n2n1)C1CC1
CCOc1ccc(-c2cccn3nc(NC(=O)C4CC4)nc23)cc1,O=C(Nc1nc2cccc(-c3ccc(C(=O)N4CC(F)(F)C4)cc3)n2n1)C1CC1
CCOc1ccc(-c2cccn3nc(NC(=O)C4CC4)nc23)cc1,N#CCC(=O)N1CC=C(c2cccc3nc(NC(=O)C4CC4)nn23)CC1
CCOc1ccc(-c2cccn3nc(NC(=O)C4CC4)nc23)cc1,C=CC(=O)N1CC=C(c2cccc3nc(NC(=O)C4CC4)nn23)CC1
CCOc1ccc(-c2cccn3nc(NC(=O)C4CC4)nc23)cc1,O=C(Nc1nc2cccc(C3CCC4(CCN(C(=O)C5CC5(F)F)CC4)C3)n2n1)C1CC1
CCOc1ccc(-c2cccn3nc(NC(=O)C4CC4)nc23)cc1,CC(C)(C#N)C(=O)N1CC2(CCC(c3cccc4nc(NC(=O)C5CC5)nn34)CC2)C1
CCOc1ccc(-c2cccn3nc(NC(=O)C4CC4)nc23)cc1,O=C(Nc1nc2cccc(C3=CCN(C(=O)NCC(F)(F)F)CC3)n2n1)C1CC1
CCOc1ccc(-c2cccn3nc(NC(=O)C4CC4)nc23)cc1,O=C(Nc1nc2cccc(C3CCC4(CC3)CCN(C(=O)C3CC3(F)F)CC4)n2n1)C1CC1
CCOc1ccc(-c2cccn3nc(NC(=O)C4CC4)nc23)cc1,O=C(NCC(F)(F)F)c1ccc(-c2cccc3nc(NC(=O)C4CC4)nn23)cc1
CCOc1ccc(-c2cccn3nc(NC(=O)C4CC4)nc23)cc1,N#CC1CN(C(=O)c2ccc(-c3cccc4nc(NC(=O)C5CC5)nn34)cc2)C1
CCOc1ccc(-c2cccn3nc(NC(=O)C4CC4)nc23)cc1,O=C(Nc1nc2cccc(C3=CCN(C(=O)C4(C(F)(F)F)CC4)CC3)n2n1)C1CC1
CCOc1ccc(-c2cccn3nc(NC(=O)C4CC4)nc23)cc1,N#CCC(=O)N1CC2(CCC(c3cccc4nc(NC(=O)C5CC5)nn34)CC2)C1
CCOc1ccc(-c2cccn3nc(NC(=O)C4CC4)nc23)cc1,O=C(Nc1nc2cccc(C3=CCN(C(=O)C4CC4(F)F)CC3)n2n1)C1CC1
CCOc1ccc(-c2cccn3nc(NC(=O)C4CC4)nc23)cc1,N#CCC(=O)N1CCC2(CCC(c3cccc4nc(NC(=O)C5CC5)nn34)CC2)CC1
CCOc1ccc(-c2cccn3nc(NC(=O)C4CC4)nc23)cc1,C=C(C#N)C(O)c1ccc(-c2cccc3nc(NC(=O)C4CC4)nn23)cc1
COCc1cccc(-c2cccc3nc(NC(=O)C4CC4)nn23)c1,O=C(Nc1nc2cccc(C3CCC(NC(=O)C4(F)CC4)CC3)n2n1)C1CC1
COCc1cccc(-c2cccc3nc(NC(=O)C4CC4)nn23)c1,O=C(Nc1nc2cccc(-c3ccc(C(=O)N4CCC(F)(F)CC4)cc3)n2n1)C1CC1
COCc1cccc(-c2cccc3nc(NC(=O)C4CC4)nn23)c1,O=C(Nc1nc2cccc(-c3ccc(C(=O)N4CC(F)(F)C4)cc3)n2n1)C1CC1
COCc1cccc(-c2cccc3nc(NC(=O)C4CC4)nn23)c1,N#CCC(=O)N1CC=C(c2cccc3nc(NC(=O)C4CC4)nn23)CC1
COCc1cccc(-c2cccc3nc(NC(=O)C4CC4)nn23)c1,C=CC(=O)N1CC=C(c2cccc3nc(NC(=O)C4CC4)nn23)CC1
COCc1cccc(-c2cccc3nc(NC(=O)C4CC4)nn23)c1,O=C(Nc1nc2cccc(C3CCC4(CCN(C(=O)C5CC5(F)F)CC4)C3)n2n1)C1CC1
COCc1cccc(-c2cccc3nc(NC(=O)C4CC4)nn23)c1,CC(C)(C#N)C(=O)N1CC2(CCC(c3cccc4nc(NC(=O)C5CC5)nn34)CC2)C1
COCc1cccc(-c2cccc3nc(NC(=O)C4CC4)nn23)c1,O=C(Nc1nc2cccc(C3=CCN(C(=O)NCC(F)(F)F)CC3)n2n1)C1CC1
COCc1cccc(-c2cccc3nc(NC(=O)C4CC4)nn23)c1,O=C(Nc1nc2cccc(C3CCC4(CC3)CCN(C(=O)C3CC3(F)F)CC4)n2n1)C1CC1
COCc1cccc(-c2cccc3nc(NC(=O)C4CC4)nn23)c1,O=C(NCC(F)(F)F)c1ccc(-c2cccc3nc(NC(=O)C4CC4)nn23)cc1
COCc1cccc(-c2cccc3nc(NC(=O)C4CC4)nn23)c1,N#CC1CN(C(=O)c2ccc(-c3cccc4nc(NC(=O)C5CC5)nn34)cc2)C1
COCc1cccc(-c2cccc3nc(NC(=O)C4CC4)nn23)c1,O=C(Nc1nc2cccc(C3=CCN(C(=O)C4(C(F)(F)F)CC4)CC3)n2n1)C1CC1
COCc1cccc(-c2cccc3nc(NC(=O)C4CC4)nn23)c1,N#CCC(=O)N1CC2(CCC(c3cccc4nc(NC(=O)C5CC5)nn34)CC2)C1
COCc1cccc(-c2cccc3nc(NC(=O)C4CC4)nn23)c1,O=C(Nc1nc2cccc(C3=CCN(C(=O)C4CC4(F)F)CC3)n2n1)C1CC1
COCc1cccc(-c2cccc3nc(NC(=O)C4CC4)nn23)c1,N#CCC(=O)N1CCC2(CCC(c3cccc4nc(NC(=O)C5CC5)nn34)CC2)CC1
COCc1cccc(-c2cccc3nc(NC(=O)C4CC4)nn23)c1,C=C(C#N)C(O)c1ccc(-c2cccc3nc(NC(=O)C4CC4)nn23)cc1
N#CCC1(n2cc(-c3ncnc4[nH]ccc34)cn2)CN(C2CCN(C(=O)c3ccnc(C(F)(F)F)c3F)CC2)C1,O=C(Nc1nc2cccc(-c3ccc(C(=O)N4CCC(F)(F)CC4)cc3)n2n1)C1CC1
N#CCC1(n2cc(-c3ncnc4[nH]ccc34)cn2)CN(C2CCN(C(=O)c3ccnc(C(F)(F)F)c3F)CC2)C1,Nc1n[nH]c2c(-c3ccccn3)cn(-c3ccccc3Cl)c(=O)c12
N#CCC1(n2cc(-c3ncnc4[nH]ccc34)cn2)CN(C2CCN(C(=O)c3ccnc(C(F)(F)F)c3F)CC2)C1,CCn1c(C(=O)N(C2CC2)C2CC2)cc2c3c(ncn3C)c(NC(=O)NCCOC)nc21
N#CCC1(n2cc(-c3ncnc4[nH]ccc34)cn2)CN(C2CCN(C(=O)c3ccnc(C(F)(F)F)c3F)CC2)C1,Cc1ccc(C(=O)C=CC(=O)N2CCc3ccc(Nc4ncc(C)c(-c5cnn(C(C)C)c5)n4)cc3C2)cc1
N#CCC1(n2cc(-c3ncnc4[nH]ccc34)cn2)CN(C2CCN(C(=O)c3ccnc(C(F)(F)F)c3F)CC2)C1,CCn1c(C(=O)N(C2CC2)C2CC2)cc2c3c(ncn3C)c(Nc3nc(C(=O)NC)c(C)s3)nc21
N#CCC1(n2cc(-c3ncnc4[nH]ccc34)cn2)CN(C2CCN(C(=O)c3ccnc(C(F)(F)F)c3F)CC2)C1,CCn1c(C(=O)N(C2CC2)C2CC2)cc2c3c(ncn3C)c(Nc3nc(C)cs3)nc21
N#CCC1(n2cc(-c3ncnc4[nH]ccc34)cn2)CN(C2CCN(C(=O)c3ccnc(C(F)(F)F)c3F)CC2)C1,CCn1c(C(=O)N(C2CC2)C2CC2)cc2c3c(ncn3C)c(Nc3ncc(C)s3)nc21
N#CCC1(n2cc(-c3ncnc4[nH]ccc34)cn2)CN(C2CCN(C(=O)c3ccnc(C(F)(F)F)c3F)CC2)C1,CC(NC(=O)c1c[nH]c2ncc(-c3nn(C)c4cc(F)ccc34)nc12)C(=O)N1CC(C#N)C1
